name,image,Trivia,Quotes,Trademark,Nickname,Star Sign,Born,Height:,Awards,Died
Shakti Kapoor,"https://m.media-amazon.com/images/M/MV5BMTY2MDE1MTQ2N15BMl5BanBnXkFtZTgwNTk2OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",His longevity and legend status can be attributed to his willingness to adapt to change and become a comedian. He was a out-and-out villain and nothing else. Then he must have realized that it will not serve him long. Newcomers are entering the ...,,,,Virgo,"Sunil Kapoor;September 3,      1952      ;New Delhi, India","5'9""(1.75m)",1 win & 3 nominations.,
Saif Ali Khan,"https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX86_CR0,0,86,128_AL_.jpg",Formed a popular on screen team with Akshay Kumar in Main Khiladi Tu Anari which led him to do two more movies with Akshay.,"His thoughts on Parineeta (2005): ""Performance wise it has given me a lot to explore. The film is set in the 60s. Whenever I think of the 60s, I think of my father. My character is based on him. Parineeta has me playing an oppressed son. He finally ...",            His smile        ,Chote Nawab,Leo,"Sajid Ali Khan;August 16,      1970      ;New Delhi, India","5'6""(1.68m)",27 wins & 33 nominations.,
Shah Rukh Khan,"https://m.media-amazon.com/images/M/MV5BZDk1ZmU0NGYtMzQ2Yi00N2NjLTkyNWEtZWE2NTU4NTJiZGUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Is very scared of riding horses.,I don't look at the figures that my movies make. The only figures I look at are girl's figures. (When asked to comment on what he felt about the figures his movies gross.),            His Signature Pose by slowly waving both hands in a rising upward motion        ,The Badshah of Bollywood,Scorpio,"November 2,      1965      ;New Delhi, India","5'6¼""(1.69m)",92 wins & 73 nominations.,
Sunil Dutt,"https://m.media-amazon.com/images/M/MV5BNzM0OTA3MDAxN15BMl5BanBnXkFtZTgwMzg2OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg","Starred in the shelved movie Kant Kumar Productions ""Armaan""(1978).Starring Sunil Dutt,Randhir Kapoor, Neetu Singh,Asrani,Chadrashekhar,Prem Nath, Manju Bansal, Music by Rahul Dev Burman, Produced Kanta Kumar,Direcred by Ashok Roy.",,,,Gemini,"Balraj Dutt;June 6,      1930      ;Jhelum, Punjab, British India","5'10""(1.78m)",5 wins & 1 nomination.,"May 25,      2005                                  (age 74)                    ;Mumbai, Maharashtra, India"
Sharman Joshi,"https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg","In 1996, ABCL ( Amitabh Bachchan Corporation Limited) held a all India talent search contest called Star Track. 9 boys and girls were selected. Sharman Joshi and Narendra Jha were chosen out of millions of entrants.",,,,Taurus,"April 28,      1979      ;Bombay, Maharashtra, India","5'9""(1.75m)",2 wins & 7 nominations.,
Shashi Kapoor,"https://m.media-amazon.com/images/M/MV5BNTcyNDUwNzEzNl5BMl5BanBnXkFtZTgwOTMxMjMzOTE@._V1_UY128_CR22,0,86,128_AL_.jpg","Shashi Kapoor did 61 solo lead hero films in Hindi and, of them, 33 were super-hits. Shashi did 54 multi-star cast movies where Shashi was one of the lead heroes and, of them, 34 were super-hits.","[In 2014, on the topic of casting couch in the 1960s] You've no idea how Dharmendra and Sanjay Khan were blackmailed by senior actresses when they were newcomers. I'm very grateful to Nanda that she was extremely gracious and decent with me.",,,Pisces,"Balbir Raj Kapoor;March 18,      1938      ;Calcutta, Bengal Presidency, British India","5'9""(1.75m)",6 wins.,"December 4,      2017                                  (age 79)                    ;Mumbai, Maharashtra, India"
Smita Patil,"https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_UY128_CR1,0,86,128_AL_.jpg",Close relationship with Vinod Khanna in 1980.,,,,Libra,"October 17,      1955      ;Pune, State of Bombay, India","5'6""(1.68m)",5 wins & 4 nominations.,"December 13,      1986                                  (age 31)                    ;Bombay, Maharashtra, India"
Surekha Sikri,"https://m.media-amazon.com/images/M/MV5BYzI0NGU4NDQtMjZiZS00Mjc2LTk3Y2ItY2NhYmYwOTEyZjQyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR21,0,86,128_AL_.jpg",Her sister Parveen was married to actor Naseeruddin Shah in 1970. Their daughter is actress Heeba Shah.,,,,Aries,"April 19,      1945      ;New Delhi, British India",,11 wins & 3 nominations.,
Sharman Joshi,"https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR1,0,86,128_AL_.jpg","In 1996, ABCL ( Amitabh Bachchan Corporation Limited) held a all India talent search contest called Star Track. 9 boys and girls were selected. Sharman Joshi and Narendra Jha were chosen out of millions of entrants.",,,,Taurus,"April 28,      1979      ;Bombay, Maharashtra, India","5'9""(1.75m)",2 wins & 7 nominations.,
Shashank Arora,"https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_UY128_CR53,0,86,128_AL_.jpg",,,,Sunny,,,"5'9""(1.75m)",1 nomination.,
Shreyas Talpade,"https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR7,0,86,128_AL_.jpg","Starred in the shelved movie ""Trishanku"". (2013). The was to be a trilingual in Kannada, Marathi and Hindi. The film was previously titled ""Oosaravalli"" then ""Khatarnak"" then ""Halkat"". The film starred Srinagar Kitty, Shreyas Talpade, Mahaakshay ...",,,,Aquarius,"January 27,      1976      ;Bombay, Maharashtra, India","5'7""(1.7m)",3 wins & 5 nominations.,
Shernaz Patel,"https://m.media-amazon.com/images/M/MV5BNTBjN2U2MTgtZjhhMC00YjE4LWI5ODQtN2EwYmJhNTU4MDdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR9,0,86,128_AL_.jpg",Sad but this pretty and talented actress never made it big. Especially after the whole country appreciated her on her debut -Mahesh Bhat's Janam. This movie was one of the first made-for-TV movies.,,,,,,,1 win & 6 nominations.,
Seema Biswas,"https://m.media-amazon.com/images/M/MV5BMTczMTgyOTkyOV5BMl5BanBnXkFtZTYwNTQ1MDA0._V1_UY128_CR0,0,86,128_AL_.jpg",,,,,Capricorn,"January 14,      1965      ;Nalbari, Assam, India",,5 wins & 6 nominations.,
Sachin Khedekar,"https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",,,,,Pisces,"March 14,      1965      ;Mumbai, Maharahstra, India",,1 win & 1 nomination.,
Sunny Deol,"https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY128_CR2,0,86,128_AL_.jpg","In 1996, Dimple Kapadia started her home production and signed Sunny Deol, Salman Khan and Kajol. The film was shelved after the announcement.",,,,Libra,"Ajay Singh Deol;October 19,      1957      ;Sahnewal, Ludhiana, Punjab, India","5'7½""(1.71m)",6 wins & 7 nominations.,
Sudesh Lehri,"https://m.media-amazon.com/images/M/MV5BNjVhOGZjYzEtM2Y3MS00OTAyLTg5Y2QtZTQzMDVkZWQyYTI2L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",,,,,,,,1 nomination.,
Soumitra Chatterjee,"https://m.media-amazon.com/images/M/MV5BMjI5Mjk4NDc3Ml5BMl5BanBnXkFtZTgwMjczMTI1NTE@._V1_UY128_CR45,0,86,128_AL_.jpg",Acted in 15 out of 34 films made by Late Satyajit Ray.,,,,Capricorn,"Soumitra Chattapadhaya;January 19,      1935      ;Krishnanagar, Bengal Presidency, British India",,4 wins.,
Saeed Jaffrey,"https://m.media-amazon.com/images/M/MV5BMTU4NTAzNTIxMl5BMl5BanBnXkFtZTcwMjkyNzg5Nw@@._V1_UX86_CR0,0,86,128_AL_.jpg",He was awarded the OBE (Officer of the Order of the British Empire) in the 1995 Queen's Birthday Honours List for his services to drama.,,,,Capricorn,"Saeed Joffrey;January 8,      1929      ;Malerkotla, Punjab, British India","5'5""(1.65m)",Nominated for1BAFTA Film Award.,"November 15,      2015                                  (age 86)                    ;London, England, UK"
Shivaji Ganesan,"https://m.media-amazon.com/images/M/MV5BMmI2Nzk4NWQtOTAxNi00ZTIxLTljNDktZDJlZDQ2NDRiODJjXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR10,0,86,128_AL_.jpg",He could only estimate the number of films he appeared in - 170 to 300.,,,The Marlon Brando of South Indian Cinema,Libra,"Villupuram Chinnaiahpillai Ganesan;October 1,      1928      ;Sirkali Sirkazhi, Tanjore District, Madras Presidency, British India",,6 wins.,"July 21,      2001                                  (age 72)                    ;Chennai, Tamil Nadu, India"
Sharmila Tagore,"https://m.media-amazon.com/images/M/MV5BMTg4Njc5MzUzNF5BMl5BanBnXkFtZTgwOTYzMTI1NTE@._V1_UY128_CR45,0,86,128_AL_.jpg","Mother of Saif Ali Khan, Saba Ali Khan and Soha Ali Khan.",,,,Sagittarius,"December 8,      1946      ;Hyderabad, Hyderabad State, British India","5'2""(1.57m)",7 wins & 3 nominations.,
Sheeba Chaddha,"https://m.media-amazon.com/images/M/MV5BNzc0NWJjMjQtM2VhOC00MDAxLWE5ZjItZTNlZDFkYjE1YjE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR20,0,86,128_AL_.jpg",Often confused with actress Sheeba (Suryavanshi) due to them both having the same name.,,,,,"     1972      ;Delhi, India",,,
Sridevi,"https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_UY128_CR11,0,86,128_AL_.jpg","Has two daughters named Jhanvi (b. 1997) and Khushi (b. November 5, 2000), both named after the heroines in husband Boney Kapoor's films Judaai (1997) and Hamara Dil Aapke Paas Hai (2000).","I had been fortunate that the actors whose films, I used to see with my parents - like Rajesh Khanna sir, Jeetendra sir, Akkini Nageshwara sir , N.T.Rama Rao sir and Sivaji Ganesan sir - I got opportunity to act with them. They were simply great in ...",,Puppy,Leo,"Shree Amma Yanger Ayyapan;August 13,      1963      ;Sivakasi, Madras State, India","5'6""(1.68m)",24 wins & 17 nominations.,"February 24,      2018                                  (age 54)                    ;Dubai, United Arab Emirates"
Salman Khan,"https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY128_CR4,0,86,128_AL_.jpg","In 1992, producer Sundeep Sethi approached Salman Khan to act in a film with Vinod Khanna, directed by Mahesh Bhatt. Salman refused the film due to a problem Salim Khan had with Mahesh Bhatt during Jurm.",In life go straight and turn right.,            Removing his shirt        ,Muscle Khan,Capricorn,"Abdul Rashid Salim Salman Khan;December 27,      1965      ;Indore, Madhya Pradesh, India","5'6½""(1.69m)",37 wins & 49 nominations.,
Saurabh Shukla,"https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_UY128_CR11,0,86,128_AL_.jpg",Was to direct the shelved film S.D. Productions JANEMAN JAAN LE TU (2002) Starring Amod Sinha (son of producer Vinay Sinha) and Sai Deodhar (daughter of director Shrabani (SILSILA HAI PYAR KA) Deodhar and cinematographer Debu Deodhar) in the lead ...,,,,Pisces,"March 5,      1963      ;Gorakhpur, Uttar Pradesh, India",,3 wins & 7 nominations.,
Sanjay Dutt,"https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY128_CR53,0,86,128_AL_.jpg","Starred in the shelved film Jazbaa: A Sanjay Gupta thriller with Sanjay Dutt, Arjun Rampal, Fardeen Khan, Aftab Shivdasani and Suniel Shetty. Shooting should have started in August 2007 in Chicago/USA but Sanjay Dutt's legal hassles plus his fallout...","About Munna Bhai M.B.B.S. (2003): ""It's a kind of satire on the medical profession, but at the same time, it's a fun film, though not a slapstick comedy. The jokes and dialogs aren't written to evoke a forced laughter; I'd say it's situational. ...",            Unique Walking Style        ,The Nayak of Hindi Cinema,Leo,"Sanjay Balraj Dutt;July 29,      1959      ;Bombay, State of Bombay, India","5'10""(1.78m)",17 wins & 23 nominations.,
Sanjeev Kumar,"https://m.media-amazon.com/images/M/MV5BZmE5YTIwODYtMTA2OC00ZDg1LTk3NmItMGI1NzhjNTZiNjIyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR12,0,86,128_AL_.jpg",Nephew name is Balkrishna Jariwala (His sister Bhagvatiben's son). He was a theatre actor. Balkrishna's father's name was Ramanlal Jariwala.,,            Quiver in his voice        ,Haribhai,Cancer,"Harihar Zariwala;July 9,      1938      ;Surat, Bombay Presidency, British India","5'8""(1.73m)",6 wins & 8 nominations.,"November 6,      1985                                  (age 47)                    ;Bombay, Maharashtra, India"
Sudeep,"https://m.media-amazon.com/images/M/MV5BOWFjZGYxZDMtYTBhYy00YWVkLTk2NDUtMmE2NTAyM2Q0OTMyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY128_CR4,0,86,128_AL_.jpg","Won the Vijay Award in Best Villain (2012) category for his role in ""Naan Ee"" (Tamil version of ""The Fly (2012)"").",,            Star Sign : Sagittarius        ,Kichcha,Virgo,"September 2,      1973      ;Shivamogga, Mysore State, India [now Shivamogga, Karnataka, India]","5'11""(1.8m)",23 wins & 15 nominations.,
Sunil Shetty,"https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_UY128_CR2,0,86,128_AL_.jpg","Starred in the shelved movie, Noorani Film Corporation's ""Untitled Movie"" Starring Sunil Shetty, Mamta Kulkarni,Ashish Vidyarthi,Mohan Joshi, Ranjeet. Music by Anu Malik, Directed by Ravee.Reels:1.",,,Anna,Leo,"August 11,      1961      ;Mulki, Mysore State, India","5'8""(1.73m)",2 wins & 8 nominations.,
Tiger Shroff,"https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",His best friends are Rinzing Denzongpa (Son Of Danny) and Shwetabh Gautam.,,,,Pisces,"Jai Hemant Shroff;March 2,      1990      ;Mumbai, India","5'7""(1.7m)",12 wins & 3 nominations.,
Tom Alter,"https://m.media-amazon.com/images/M/MV5BMjk1NDI0ZjEtMDMwOS00ZTY5LTk3NTEtODYxZWZlNTE4OTZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",Son Jamie Alter is also a actor.,,,,Cancer,"Thomas Beach Alter;June 22,      1950      ;Mussoorie, Uttar Pradesh, India",,1 nomination.,"September 29,      2017                                  (age 67)                    ;Mumbai, Maharashtra, India"
Tinnu Anand,"https://m.media-amazon.com/images/M/MV5BZjM4OWEyOWItNmU0Yy00MjQyLTkyNzYtOTQzNzA1ZTJmOTY0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg",Brother-in-law of actor Late Jalal Agha.,,,,Taurus,"May 4,      1953      ;Bombay, State of Bombay, India","5'6½""(1.69m)",,
Tabu,"https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY128_CR1,0,86,128_AL_.jpg",Indian model.,,,,Scorpio,"Tabassum Fatima Hashmi;November 4,      1970      ;Hyderabad, Andhra Pradesh, India","5'6¼""(1.69m)",27 wins & 24 nominations.,
Tigmanshu Dhulia,"https://m.media-amazon.com/images/M/MV5BMmVkZTMxMTgtNjk3Ny00Yzc4LWFhZWYtMjBhYTJjN2EwMDViXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",Daughter Jaansi is studying to be a director.,,,,,,,8 wins & 11 nominations.,
Usha Nadkarni,"https://m.media-amazon.com/images/M/MV5BNDRiOGQ0YWYtNmE0MC00NWM4LTg5YTMtNzAyNjQyZGVkOThjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",,,,,,,,3 nominations.,
Upasna Singh,"https://m.media-amazon.com/images/M/MV5BYzkzNGJjNGMtMTcyMy00YmQ5LTgwMmItNzk4MjBkZWJhMTg1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR0,0,86,128_AL_.jpg","Starred in the shelved movie Chandra Films Internationals ""Good Bye Bombay""(1992) Starring Anup Jalota,Upaasna Singh, Sanjeeva, Music by Anup Jalota,Directed Gopal Krishna.",,,,Cancer,"June 29,      1975      ;Kapurthala, Punjab, India","5'5""(1.65m)",2 wins.,
Utpal Dutt,"https://m.media-amazon.com/images/M/MV5BMDFiNjgzNGQtMmZkMy00NzNmLWE2MDItYzMzMWQ0ZmE3Yzg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR56,0,86,128_AL_.jpg",Father of Bishnupriya Dutta.,I hate acting.,,,Aries,"March 29,      1929      ;Barisal, Bengal Presidency, British India [now Bangladesh]",,3 wins & 2 nominations.,"August 19,      1993                                  (age 64)                    ;Calcutta, West Bengal, India"
Upendra Limaye,"https://m.media-amazon.com/images/M/MV5BN2JkNjFjYzctOTM4NS00NGI3LWFhY2UtZmIwNTZjNzc1YTA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR6,0,86,128_AL_.jpg",,,,,,,,2 wins & 1 nomination.,
Varun Dhawan,"https://m.media-amazon.com/images/M/MV5BMjM0NTM3ODY4Ml5BMl5BanBnXkFtZTgwNTA4MDM0OTE@._V1_UY128_CR1,0,86,128_AL_.jpg",His father David refused to give him any help to enter bollywood. He was launched by Karan Johar.,,,,Taurus,"April 24,      1987      ;Mumbai, Maharashtra, India","5'6¼""(1.69m)",21 wins & 19 nominations.,
Venkatesh Daggubati,"https://m.media-amazon.com/images/M/MV5BMTkyNDE4OTA0MF5BMl5BanBnXkFtZTgwNjExMTE0OTE@._V1_UY128_CR56,0,86,128_AL_.jpg",Co-Owner of Suresh Productions.,,,,Sagittarius,"Daggupati Venkatesh;December 13,      1960      ;Karamchedu, Andhra Pradesh, India","5'10¼""(1.79m)",6 wins & 9 nominations.,
Vijay Raaz,"https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Married to Bollywood actress Krishna Raaz.,,,,,,"5'10¼""(1.78m)",1 win & 5 nominations.,
Vinay Pathak,"https://m.media-amazon.com/images/M/MV5BMTgxODI1NTI2MV5BMl5BanBnXkFtZTgwODgxODYyNjE@._V1_UY128_CR53,0,86,128_AL_.jpg",He has two daughters: Vasudha and Sharinee.,,,,Cancer,"July 12,      1968      ;Bhojpur District, Bihar, India",,2 wins & 5 nominations.,
Vishal Malik,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,,"When you push your brain you become a politician, When you push you body you become a body builder & When you push your soul you become an Actor",,Happy,,,"5'7""(1.7m)",,
Vikram Gokhale,"https://m.media-amazon.com/images/M/MV5BN2EyYjI5NmEtMDEwZC00ZGYwLWFjZWEtOWVkZjZjMDM0M2IyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR2,0,86,128_AL_.jpg",Brother of actor Mohan Ghokale.,,,,Scorpio,"October 30,      1940      ;Pune, Bombay Presidency, British India",,2 wins & 1 nomination.,
Vipin Sharma,"https://m.media-amazon.com/images/M/MV5BZjQxYWI5M2UtNTdiZi00OTU0LTk2YTgtYjc3MWFkZGEzMWZkXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY128_CR92,0,86,128_AL_.jpg",,,,,,,,1 nomination.,
Vinod Khanna,"https://m.media-amazon.com/images/M/MV5BMGNlOWMyNDUtMjYzZi00YmE2LThjNTItMjFiOTA3YzBkZjZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR7,0,86,128_AL_.jpg","Went for a world tour concert with Meenakshi Sheshadri, Chunky Pandey, Sangeeta Bijlani in June/July 1990. They visited cities in Canada , America and England.",,,,Libra,"October 6,      1946      ;Peshawar, North-West Frontier Province, British India","5'10""(1.78m)",3 wins & 3 nominations.,"April 27,      2017                                  (age 70)                    ;Mumbai, Maharashtra, India"
Vyjayanthimala,"https://m.media-amazon.com/images/M/MV5BYWVjYzI1YzctOGJkYS00ZGM5LTg3OGItYmI5ZTIyMGI2ZGI3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR8,0,86,128_AL_.jpg","Vyjayanthimala won the Best Actress Filmfare Award three times, for her roles in _Sadhana (1958)_, Gunga Jumna (1961), and Sangam (1964). She also helped pave the way for more agile and beauteous South Indian actresses, from Hema Malini to Aishwarya...",I believe in the purity of art. I think you have to be pure at heart to depict divinity.,,,Leo,"August 13,      1933      ;Triplicane, Madras Presidency, British India","5'3""(1.6m)",6 wins & 1 nomination.,
Vidya Balan,"https://m.media-amazon.com/images/M/MV5BNDI3Mjk2MjgzMl5BMl5BanBnXkFtZTcwODQwMjI1OQ@@._V1_UY128_CR1,0,86,128_AL_.jpg","Vidya Balan's first Tamil film was N. Linguswamy's Run, where they got her replaced by Meera Jasmine, after shooting the first schedule with her.","Neither of my first two Malayalam films got completed, and I walked out of the third, a Tamil film, because I was not comfortable. I was replaced in another Tamil film with the excuse that I could not act. They made me feel ugly to the point where I...",,,Capricorn,"Vidya P. Balan;January 1,      1979      ;Bombay, Maharashtra, India","5'2""(1.57m)",43 wins & 39 nominations.,
Vrajesh Hirjee,"https://m.media-amazon.com/images/M/MV5BMTI4OWU4ZDktOGNlNC00NTBlLWJjNTctM2JmYzBhOGFhNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR3,0,86,128_AL_.jpg","Starred in the shelved film ""Shaadi Ke Liye Loan"" (2010) Starring :Vikram Kumar,Vrajesh Hirjee,Mrinalini Sharma,Vijay Raaz,Manoj Joshi,MUSIC_DIRECTOR: Sanjeev Rathod , Darshan Rathod,Producer: Suhas Rahurkar,Director: Rikshit Matta.",,,,Gemini,"June 16,      1971      ;Bihar, India",,3 nominations.,
Waheeda Rehman,"https://m.media-amazon.com/images/M/MV5BMTQ4NzE2OTMyMl5BMl5BanBnXkFtZTcwOTc4MDEzMQ@@._V1_UY128_CR42,0,86,128_AL_.jpg","Her career's biggest hit Khamoshi (1970), opposite Superstar Late Rajesh Khanna.",,,,Aquarius,"February 3,      1938      ;Chengalpattu, Madras Presidency, British India","5'1""(1.55m)",7 wins & 2 nominations.,
Yashpal Sharma,"https://m.media-amazon.com/images/M/MV5BMzczOGQwZDMtYWQxYi00NDZhLTlkNWYtMjVkMzhlODcyZmU4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR4,0,86,128_AL_.jpg",He won the 'best actor' award at Whatashort Independent International Film Festival 2016 for his short film 'Moksha' directed by Aly Rana.,,,,Leo,"August 9,      1970      ;Hisar, Haryana, India",,1 win & 6 nominations.,
Zeenat Aman,"https://m.media-amazon.com/images/M/MV5BMTg4NDcxNTQ0N15BMl5BanBnXkFtZTgwNTI3OTczOTE@._V1_UX86_CR0,0,86,128_AL_.jpg",Was involved with Shatrughan Sinha for a short while.,Love is a spring in the air and an extra spring in bed,,Babushka,Scorpio,"November 19,      1951      ;Bombay, State of Bombay, India","5'6¼""(1.68m)",6 wins & 2 nominations.,
Zohra Sehgal,"https://m.media-amazon.com/images/M/MV5BMzA0NDAzZjAtOTFhMi00N2RiLWIxOWUtMTBkY2U0YjI3ZDU2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY128_CR19,0,86,128_AL_.jpg","She was the first actor to have appeared in Doctor Who (1963) to have lived to the age of 100 and its longest lived cast member to date. She died on July 10, 2014 at the age of 102.",,,,Taurus,"Zohra Begum Mumtaz-ullah Khan;April 27,      1912      ;Saharanpur, Uttar Pradesh, India",,1 win & 1 nomination.,"July 10,      2014                                  (age 102)                    ;New Delhi, India"
Zarina Wahab,"https://m.media-amazon.com/images/M/MV5BNDZhNzNiY2UtYzRkOS00N2IzLWFmNDctZTNkNTVkODZkZjEwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY128_CR5,0,86,128_AL_.jpg","Was engaged to famous business man Ramesh Narang , who went on to marry Poonam Narang. Ramesh is the brother of Bobby (Ramesh) Narang, the former son in law of Dev Anand. Bobby was married to Dev's daughter Devina.",[on not becoming a top star of her time] I never had it easy. It is terrible when roles don't come your way or are stolen by your peers. It often happened with me and it can be very depressing. Only lucky people have steady careers in Bollywood.,,,,,,1 win & 1 nomination.,
